iter	Passed	Remaining
0	23	11936
1	48	12041
2	68	11298
3	87	10908
4	105	10414
5	122	10105
6	141	9983
7	160	9888
8	179	9780
9	197	9679
10	215	9587
11	234	9522
12	254	9525
13	271	9420
14	287	9309
15	306	9276
16	325	9238
17	343	9191
18	361	9151
19	379	9104
20	400	9138
21	423	9204
22	442	9178
23	458	9102
24	476	9062
25	498	9081
26	519	9098
27	538	9070
28	556	9034
29	574	8996
30	592	8969
31	611	8946
32	632	8944
33	650	8920
34	666	8857
35	684	8824
36	703	8806
37	724	8809
38	748	8845
39	767	8823
40	785	8792
41	802	8748
42	819	8711
43	838	8692
44	857	8669
45	874	8635
46	894	8626
47	916	8632
48	936	8615
49	954	8594
50	972	8563
51	991	8543
52	1009	8517
53	1028	8491
54	1049	8490
55	1067	8462
56	1085	8436
57	1104	8416
58	1124	8403
59	1142	8379
60	1160	8348
61	1178	8327
62	1198	8312
63	1216	8285
64	1235	8266
65	1255	8253
66	1273	8227
67	1289	8192
68	1308	8171
69	1325	8141
70	1343	8115
71	1360	8084
72	1377	8054
73	1393	8021
74	1410	7991
75	1427	7962
76	1445	7941
77	1463	7916
78	1481	7895
79	1499	7870
80	1515	7840
81	1533	7815
82	1551	7794
83	1568	7769
84	1587	7748
85	1603	7720
86	1621	7696
87	1637	7668
88	1655	7646
89	1673	7624
90	1691	7603
91	1711	7592
92	1729	7569
93	1747	7548
94	1765	7524
95	1782	7502
96	1800	7480
97	1817	7453
98	1834	7429
99	1852	7411
100	1870	7388
101	1887	7365
102	1904	7340
103	1920	7313
104	1938	7291
105	1955	7269
106	1973	7248
107	1991	7229
108	2009	7209
109	2026	7184
110	2043	7162
111	2062	7143
112	2078	7120
113	2095	7096
114	2114	7079
115	2133	7062
116	2149	7036
117	2166	7013
118	2182	6988
119	2199	6966
120	2217	6944
121	2233	6919
122	2249	6895
123	2267	6874
124	2284	6854
125	2301	6832
126	2318	6808
127	2334	6784
128	2354	6770
129	2372	6751
130	2390	6732
131	2407	6712
132	2424	6690
133	2442	6670
134	2459	6649
135	2476	6627
136	2493	6607
137	2513	6592
138	2530	6573
139	2548	6552
140	2563	6527
141	2580	6505
142	2597	6485
143	2615	6465
144	2632	6445
145	2649	6424
146	2668	6407
147	2686	6388
148	2705	6373
149	2722	6351
150	2738	6329
151	2756	6310
152	2772	6288
153	2789	6267
154	2805	6243
155	2821	6222
156	2838	6200
157	2854	6179
158	2871	6157
159	2888	6138
160	2905	6117
161	2922	6097
162	2938	6075
163	2955	6055
164	2972	6034
165	2988	6013
166	3004	5991
167	3021	5971
168	3039	5952
169	3056	5932
170	3073	5914
171	3091	5895
172	3107	5873
173	3124	5854
174	3142	5835
175	3159	5815
176	3177	5797
177	3193	5776
178	3210	5756
179	3227	5738
180	3245	5719
181	3261	5699
182	3280	5682
183	3297	5663
184	3315	5645
185	3333	5627
186	3351	5609
187	3368	5589
188	3384	5568
189	3401	5549
190	3416	5527
191	3434	5508
192	3450	5488
193	3467	5469
194	3483	5448
195	3500	5428
196	3515	5407
197	3532	5388
198	3549	5368
199	3567	5350
200	3584	5332
201	3602	5314
202	3619	5294
203	3635	5275
204	3652	5255
205	3669	5237
206	3687	5219
207	3705	5202
208	3722	5182
209	3741	5166
210	3759	5149
211	3775	5128
212	3791	5108
213	3807	5088
214	3823	5068
215	3840	5049
216	3856	5029
217	3874	5012
218	3891	4993
219	3908	4973
220	3924	4954
221	3940	4934
222	3956	4914
223	3971	4893
224	3988	4874
225	4004	4854
226	4021	4836
227	4038	4817
228	4054	4798
229	4072	4780
230	4088	4761
231	4105	4742
232	4123	4725
233	4142	4709
234	4158	4689
235	4174	4670
236	4191	4651
237	4207	4631
238	4223	4612
239	4240	4593
240	4257	4575
241	4275	4558
242	4293	4541
243	4309	4521
244	4326	4503
245	4342	4483
246	4358	4463
247	4375	4446
248	4392	4428
249	4409	4409
250	4426	4391
251	4444	4374
252	4461	4355
253	4478	4337
254	4495	4318
255	4511	4300
256	4528	4281
257	4547	4265
258	4564	4247
259	4581	4229
260	4598	4210
261	4614	4192
262	4631	4173
263	4649	4156
264	4667	4138
265	4684	4121
266	4701	4102
267	4718	4084
268	4735	4066
269	4751	4047
270	4767	4028
271	4783	4009
272	4798	3990
273	4813	3970
274	4830	3951
275	4846	3933
276	4862	3914
277	4879	3896
278	4896	3878
279	4912	3859
280	4928	3840
281	4946	3823
282	4963	3806
283	4980	3788
284	4997	3770
285	5013	3751
286	5029	3732
287	5046	3714
288	5062	3696
289	5079	3677
290	5095	3659
291	5111	3641
292	5127	3622
293	5143	3603
294	5160	3586
295	5177	3568
296	5193	3549
297	5209	3531
298	5225	3512
299	5241	3494
300	5257	3475
301	5274	3457
302	5292	3440
303	5308	3422
304	5323	3403
305	5340	3385
306	5356	3367
307	5373	3349
308	5388	3331
309	5406	3313
310	5423	3295
311	5438	3277
312	5456	3260
313	5471	3241
314	5490	3224
315	5507	3206
316	5522	3187
317	5538	3169
318	5556	3152
319	5572	3134
320	5588	3116
321	5604	3098
322	5620	3080
323	5639	3063
324	5656	3045
325	5673	3028
326	5692	3011
327	5710	2994
328	5729	2977
329	5749	2961
330	5767	2944
331	5785	2927
332	5802	2909
333	5845	2905
334	5887	2900
335	5906	2882
336	5934	2870
337	5952	2853
338	5970	2835
339	5988	2818
340	6005	2800
341	6025	2783
342	6044	2766
343	6062	2749
344	6079	2731
345	6096	2713
346	6114	2696
347	6131	2678
348	6148	2660
349	6165	2642
350	6182	2624
351	6200	2606
352	6217	2589
353	6236	2572
354	6257	2555
355	6274	2538
356	6291	2520
357	6309	2502
358	6325	2484
359	6344	2467
360	6360	2449
361	6377	2431
362	6395	2413
363	6411	2395
364	6428	2377
365	6445	2359
366	6461	2341
367	6478	2323
